ts,host,port_num,port_proto,service
1762166173.280780,192.168.7.1,53,udp,DNS
1762166189.233441,fd50:75fd:c988::1,53,udp,DNS
1762166460.936839,192.168.7.205,22,tcp,(empty)
1762167609.584428,192.168.7.205,22,tcp,SSH
1762171166.235878,192.168.7.205,80,tcp,HTTP
1762171240.572211,192.168.7.205,80,tcp,(empty)
1762173624.986317,192.168.7.205,21,tcp,FTP
1762173862.773744,fd50:75fd:c988::1,53,tcp,DNS
1762173870.409948,192.168.7.1,53,tcp,DNS
1762174199.029995,fd50:75fd:c988::1,53,tcp,(empty)
1762175827.542996,192.168.7.205,21,tcp,SSL
1762175832.182702,192.168.7.205,30032,tcp,SSL
1762175837.749822,192.168.7.205,30028,tcp,SSL
1762175856.778607,192.168.7.205,30097,tcp,SSL
1762175951.572761,192.168.7.205,30039,tcp,SSL
1762175982.756565,192.168.7.1,443,tcp,SSL
1762175982.826984,192.168.7.1,80,tcp,HTTP
1762176052.632704,192.168.7.205,30007,tcp,SSL
1762176145.937994,192.168.7.205,30098,tcp,SSL
1762176150.072320,192.168.7.205,30090,tcp,SSL
1762176152.309906,192.168.7.205,30062,tcp,SSL
1762176192.327090,192.168.7.205,30033,tcp,(empty)
1762176225.095348,192.168.7.205,30004,tcp,(empty)
