ts,peer,mem,pkts_proc,bytes_recv,pkts_dropped,pkts_link,pkt_lag,pkts_filtered,events_proc,events_queued,active_tcp_conns,active_udp_conns,active_icmp_conns,tcp_conns,udp_conns,icmp_conns,timers,active_timers,files,active_files,dns_requests,active_dns_requests,reassem_tcp_size,reassem_file_size,reassem_frag_size,reassem_unknown_size
1762166160.876130,zeek,244,1,114,0,0,0.027928,-,545,15,1,0,0,1,0,0,50,44,0,0,0,0,84,0,0,0
1762166460.880385,zeek,245,23509,32920304,0,23509,0.002120,-,13288,13283,47,1,4,297,109,10,5604,151,23,0,0,0,170,0,0,0
1762166760.926871,zeek,245,46534,82607687,0,46534,0.000501,-,13642,13643,57,4,6,132,300,8,6618,175,9,0,0,0,0,0,0,0
1762167060.929172,zeek,245,55321,141281497,0,55326,0.002877,-,20657,20655,73,21,6,149,294,6,6386,260,44,0,0,0,63,0,0,0
1762167360.951462,zeek,252,1399836,2380414485,0,1399834,0.002250,-,120771,120770,41,2,2,49,166,9,5754,140,26,0,0,0,68,0,0,0
1762167660.952025,zeek,252,6709,1297304,0,6706,0.000000,-,11248,11249,35,1,4,163,180,12,5350,128,220,0,2,0,0,0,0,0
1762167960.952164,zeek,252,7919,3496777,0,7919,0.000000,-,5751,5751,58,6,5,91,173,20,4556,177,16,0,4,0,0,0,0,0
1762168260.952594,zeek,252,3777,1223865,0,3777,0.000000,-,2775,2774,32,2,4,33,106,8,4436,117,9,0,0,0,0,0,0,0
1762168560.955054,zeek,252,5101,1392375,0,5101,0.000000,-,3972,3974,32,6,8,47,117,16,4045,129,22,0,0,0,0,0,0,0
1762168861.022300,zeek,252,46720,91683412,0,46720,0.000000,-,13350,13350,56,3,6,103,247,4,5508,165,15,0,0,0,0,0,0,0
1762169161.024213,zeek,252,12843,20099817,0,12843,0.000000,-,2575,2573,31,0,4,22,70,10,4201,113,7,0,0,0,0,0,0,0
1762169461.025078,zeek,252,15854,32984916,0,15854,0.000000,-,3423,3425,20,3,4,21,57,17,3531,90,5,0,0,0,0,0,0,0
1762169761.027183,zeek,252,39098,83956108,0,39098,0.000000,-,7302,7301,27,0,4,22,59,12,3522,100,6,0,0,0,0,0,0,0
1762170061.027393,zeek,252,22799,48965577,0,22799,0.000000,-,6539,6540,30,3,4,26,54,3,3547,119,12,0,0,0,0,0,0,0
1762170361.027583,zeek,252,55314,159168504,0,55314,0.000000,-,17406,17406,21,2,3,14,45,15,3543,91,11,0,0,0,0,0,0,0
1762170661.028272,zeek,252,57306,163586802,0,57306,0.000000,-,18467,18465,23,1,4,15,38,12,3309,94,5,0,0,0,0,0,0,0
1762170961.029042,zeek,252,37950,108126925,0,37950,0.000000,-,13176,13178,23,0,4,25,67,12,3320,96,14,0,0,0,0,0,0,0
1762171261.082018,zeek,252,35589,93098769,0,35589,0.000000,-,14192,14190,34,3,4,63,103,14,3920,126,38,0,0,0,0,0,0,0
1762171561.084293,zeek,252,20603,53345832,0,20603,0.000000,-,6655,6656,26,1,12,25,49,15,3646,114,14,0,0,0,0,0,0,0
1762171861.084354,zeek,252,14200,36092406,0,14211,0.002092,-,5375,5376,21,3,4,21,39,14,3262,98,9,0,0,0,0,0,0,0
1762172161.084528,zeek,252,34580,97299269,0,34569,0.000000,-,11093,11091,25,0,7,24,39,13,3490,100,18,0,0,0,0,0,0,0
1762172461.085511,zeek,252,5426,10725522,0,5426,0.000000,-,2406,2406,20,3,3,17,38,12,3214,92,3,0,0,0,0,0,0,0
1762172761.086210,zeek,252,19440,52535374,0,19440,0.000000,-,8364,8365,33,0,4,56,100,12,3660,122,16,0,0,0,0,0,0,0
1762173061.086743,zeek,252,55406,157086497,0,55406,0.000000,-,17354,17354,23,6,2,20,36,8,3374,105,7,0,0,0,0,0,0,0
1762173361.087039,zeek,252,57916,163031380,0,57916,0.000000,-,19582,19582,26,0,6,44,71,12,3971,103,17,0,0,0,0,0,0,0
1762173661.087243,zeek,252,59657,165986736,0,59657,0.000000,-,19539,19540,28,5,4,69,118,6,3842,117,28,0,0,0,0,0,0,0
1762173961.088129,zeek,252,68292,174841107,0,68292,0.000000,-,24965,24964,35,1,0,325,63,3,5986,128,30,0,0,0,0,0,0,0
1762174261.109191,zeek,252,75854,190785685,0,75855,0.002284,-,20811,20812,53,4,0,263,37,6,5332,174,20,0,0,0,96,0,0,0
1762174561.109976,zeek,252,34980,91445038,0,34979,0.000000,-,12114,12114,30,1,0,152,15,8,4863,103,15,0,0,0,0,0,0,0
1762174861.113002,zeek,252,26475,40392940,0,26475,0.000000,-,5196,5194,35,1,0,163,18,5,4559,116,10,0,0,0,0,0,0,0
1762175161.181433,zeek,252,20404,28489560,0,20404,0.000000,-,9311,9312,45,5,8,380,41,10,6284,155,18,0,0,0,5795,0,0,0
1762175461.181936,zeek,252,7711,2869358,0,7711,0.000000,-,5016,5016,41,1,0,258,22,5,5362,128,6,0,0,0,0,0,0,0
1762175761.182395,zeek,252,9458,1627230,0,9458,0.000000,-,2207,2207,21,1,3,108,13,5,4074,90,12,0,0,0,0,0,0,0
1762176061.182568,zeek,252,6013,1139995,0,6013,0.000000,-,3616,3617,28,1,0,133,29,2,4204,108,14,0,0,0,0,0,0,0
1762176361.183426,zeek,252,6228,1245490,0,6228,0.000000,-,3363,3363,35,1,2,147,18,4,4455,128,24,0,0,0,0,0,0,0
1762176661.186884,zeek,252,4246,699868,0,4246,0.000000,-,2766,2765,25,1,0,79,29,9,3846,95,11,0,0,0,0,0,0,0
